ID,시도,시군구,읍면동,행정기관코드,총인구수,어린이,노인
647,인천광역시,미추홀구,도화2.3동,2817761000,30642,4972,5660
648,인천광역시,미추홀구,도화1동,2817760000,20607,2560,4528
649,인천광역시,미추홀구,주안1동,2817762000,19616,1754,2814
650,인천광역시,미추홀구,주안2동,2817763000,21788,2744,4900
651,인천광역시,미추홀구,주안3동,2817764000,12114,1578,2682
652,인천광역시,미추홀구,주안4동,2817765000,19851,2620,4569
653,인천광역시,미추홀구,주안5동,2817766000,19494,1969,4423
654,인천광역시,미추홀구,주안6동,2817767000,20513,2938,4186
655,인천광역시,미추홀구,주안7동,2817768000,12179,1197,3497
656,인천광역시,미추홀구,주안8동,2817769000,18802,2184,4490
657,인천광역시;인천광역시,미추홀구;미추홀구,관교동;문학동,2817770000;2817771000,27577,3284,5753
658,인천광역시,연수구,옥련1동,2818563000,17062,2262,3705
659,인천광역시,연수구,옥련2동,2818564000,19111,2924,3630
660,인천광역시,연수구,선학동,2818575000,17682,1958,4029
661,인천광역시,연수구,연수1동,2818576100,16598,1563,3374
662,인천광역시,연수구,연수2동,2818576200,19258,2296,3805
663,인천광역시,연수구,연수3동,2818576300,14574,1476,3650
664,인천광역시,연수구,청학동,2818576600,22212,2108,5335
665,인천광역시,연수구,동춘1동,2818578000,25633,4760,3589
666,인천광역시,연수구,동춘2동,2818579000,16755,2412,2886
667,인천광역시,연수구,송도1동,2818582000,37626,7738,4365
668,인천광역시,연수구,송도2동,2818583000,37251,10765,2751
669,인천광역시,연수구,송도3동,2818584000,48300,11674,3640
670,인천광역시,연수구,송도4동,2818585000,46398,12469,2843
671,인천광역시,연수구,송도5동,2818586000,46135,11472,3244
672,인천광역시,남동구,구월1동,2820051000,30580,5031,5268
673,인천광역시,남동구,구월2동,2820052000,36696,7170,5816
674,인천광역시,연수구,동춘3동,2818579500,17557,3563,2720
675,인천광역시,남동구,구월3동,2820052100,28004,2533,3967
676,인천광역시,남동구,구월4동,2820052200,13018,1030,3418
677,인천광역시,남동구,간석1동,2820053000,17688,1782,3975
678,인천광역시,남동구,간석2동,2820054000,20474,2948,4305
679,인천광역시,남동구,간석3동,2820055000,25132,2746,5714
680,인천광역시,남동구,간석4동,2820055100,27654,3226,5689
681,인천광역시,남동구,만수1동,2820056000,15354,1226,4249
682,인천광역시,남동구,만수2동,2820057000,22281,3227,4597
683,인천광역시,남동구,만수3동,2820058000,15949,2231,3291
684,인천광역시,남동구,만수4동,2820058100,18438,2216,4272
685,인천광역시,남동구,만수5동,2820058200,14147,1170,3927
686,인천광역시,남동구,만수6동,2820058300,22093,2546,5180
687,인천광역시,남동구,서창2동,2820065500,37489,8426,5447
688,인천광역시,남동구,장수서창동,2820065000,18462,2905,4034
689,인천광역시,남동구,논현1동,2820069000,31167,5160,5095
690,인천광역시,남동구,논현2동,2820070000,30755,4315,5837
691,인천광역시,남동구,논현고잔동,2820071000,39344,8324,4832
692,인천광역시,부평구,부평1동,2823751000,34652,3762,6598
693,인천광역시,남동구,남촌도림동,2820066000,19104,2211,4464
694,인천광역시,부평구,부평2동,2823752000,16052,1816,3295
695,인천광역시,부평구,부평4동,2823754000,33362,3603,6145
696,인천광역시,부평구,부평5동,2823755000,33007,4727,5037
697,인천광역시,부평구,부평3동,2823753000,14839,1722,3376
698,인천광역시,부평구,부평6동,2823756000,18257,2312,3433
699,인천광역시,부평구,산곡1동,2823757000,14648,2243,2578
700,인천광역시,부평구,산곡2동,2823758000,28946,5057,5051
701,인천광역시,부평구,산곡3동,2823758100,19913,2264,5333
702,인천광역시,부평구,산곡4동,2823758200,16410,2247,3389
703,인천광역시,부평구,청천2동,2823759200,32749,4512,5986
704,인천광역시,부평구,청천1동,2823759100,22639,4170,2771
705,인천광역시,부평구,갈산1동,2823764100,14275,1452,2974
706,인천광역시,부평구,삼산1동,2823764600,31803,4564,6058
707,인천광역시,부평구,갈산2동,2823764200,17259,1880,4289
708,인천광역시,부평구,삼산2동,2823764800,27113,5063,4015
709,인천광역시,부평구,부개1동,2823765000,15034,1401,4219
710,인천광역시,부평구,부개2동,2823766000,18867,2662,3616
711,인천광역시,부평구,부개3동,2823766100,27795,3476,5033
712,인천광역시,부평구,일신동,2823767000,11471,1536,2639
713,인천광역시,부평구,십정1동,2823768000,23826,3294,4043
714,인천광역시,부평구,십정2동,2823769000,20717,1934,5154
715,인천광역시,계양구,효성1동,2824560100,26205,3321,5256
716,인천광역시,계양구,효성2동,2824560200,26390,3235,5426
717,인천광역시,계양구,계산1동,2824561100,17465,1368,4110
718,인천광역시,계양구,계산2동,2824561200,14086,1123,3428
719,인천광역시,계양구,계산3동,2824561300,17309,1609,3151
720,인천광역시,계양구,계산4동,2824561400,22249,3243,3035
721,인천광역시,계양구,작전1동,2824562100,25723,3239,4741
722,인천광역시,계양구,작전서운동,2824564000,32313,4784,4642
723,인천광역시,계양구,작전2동,2824562200,23606,2848,4574
724,인천광역시,계양구,계양2동,2824572000,31107,3112,6412
725,인천광역시,계양구,계양1동,2824571000,18750,2247,3992
726,인천광역시,서구,검암경서동,2826051500,54058,9495,6133
727,인천광역시,서구,연희동,2826053000,36868,3925,7368
728,인천광역시,서구,청라1동,2826053600,30449,7060,2373
729,인천광역시,서구,청라2동,2826053700,47847,11602,4307
730,인천광역시,서구,청라3동,2826053900,36077,8914,2495
731,인천광역시,서구,가정1동,2826054200,41580,8632,5241
732,인천광역시,계양구,계양3동,2824573000,23310,4159,3705
733,인천광역시;인천광역시,서구;서구,가정2동;가정3동,2826054300;2826054400,25523,3971,3371
734,인천광역시,서구,석남1동,2826055000,19920,1910,4519
735,인천광역시;인천광역시,서구;서구,석남2동;석남3동,2826056000;2826056100,24874,2451,5775
736,인천광역시,서구,신현원창동,2826057500,29027,4531,5244
737,인천광역시,서구,가좌1동,2826058000,12553,1281,2602
738,인천광역시,서구,가좌2동,2826059000,18275,2431,3808
739,인천광역시,서구,검단동,2826068000,32373,4974,4877
740,인천광역시,서구,불로대곡동,2826069000,31498,6592,4145
741,인천광역시;인천광역시,서구;서구,가좌3동;가좌4동,2826060000;2826061000,27092,2899,6388
742,인천광역시,서구,원당동,2826070000,24520,4851,2974
743,인천광역시,서구,당하동,2826071000,28459,4895,3792
744,인천광역시,서구,오류왕길동,2826072000,24818,4116,4078
745,인천광역시,서구,아라동,2826074000,71959,19926,4766
746,인천광역시,서구,마전동,2826073000,21238,3877,2886
747,인천광역시,강화군,강화읍,2871025000,21620,3054,6555
748,인천광역시;인천광역시;인천광역시;인천광역시,강화군;강화군;강화군;강화군,선원면;불은면;길상면;화도면,2871031000;2871032000;2871033000;2871034000,26254,2497,10131
749,인천광역시;인천광역시;인천광역시;인천광역시;인천광역시,강화군;강화군;강화군;강화군;강화군,양도면;내가면;하점면;양사면;송해면,2871035000;2871036000;2871037000;2871038000;2871039000,16205,1090,7903
750,인천광역시;인천광역시;인천광역시;인천광역시,강화군;강화군;강화군;강화군,교동면;삼산면;서도면;서도면볼음출장소,2871040000;2871041000;2871042000;2871042500,5363,267,2795
751,인천광역시;인천광역시;인천광역시;인천광역시;인천광역시;인천광역시;인천광역시;인천광역시;인천광역시;인천광역시,옹진군;옹진군;옹진군;옹진군;옹진군;옹진군;옹진군;옹진군;옹진군;옹진군,북도면;북도면장봉출장소;백령면;대청면;대청면소청출장소;덕적면;영흥면;자월면;자월면이작출장소;연평면,2872031000;2872031500;2872033000;2872034000;2872034500;2872035000;2872036000;2872037000;2872037500;2872038000,19796,1471,6854
752,광주광역시;광주광역시;광주광역시,동구;동구;동구,충장동;동명동;계림1동,2911052500;2911054500;2911056000,18960,1828,4259
753,광주광역시;광주광역시,동구;동구,계림2동;산수1동,2911057000;2911059000,21096,3790,4377
754,광주광역시;광주광역시;광주광역시;광주광역시;광주광역시,동구;동구;동구;동구;동구,산수2동;지산1동;지산2동;서남동;학동,2911060000;2911062000;2911063000;2911065500;2911068500,27794,3214,7345
755,광주광역시;광주광역시,동구;동구,학운동;지원1동,2911071000;2911073000,19561,2487,5943
756,광주광역시,동구,지원2동,2911074000,18071,3049,3343
757,광주광역시;광주광역시,서구;서구,양동;양3동,2914057500;2914059000,6898,721,2454
758,광주광역시;광주광역시,서구;서구,농성1동;농성2동,2914065000;2914066000,15849,1416,3973
759,광주광역시;광주광역시,서구;서구,광천동;유덕동,2914073000;2914074000,15373,2401,2536
760,광주광역시,서구,치평동,2914074500,28994,4088,4246
761,광주광역시,서구,상무1동,2914075100,23735,3213,3712
762,광주광역시,서구,상무2동,2914075200,22208,2074,5331
763,광주광역시,서구,화정1동,2914076000,15448,1605,3203
764,광주광역시;광주광역시,서구;서구,화정2동;화정3동,2914077000;2914078000,28130,5480,5647
765,광주광역시,서구,화정4동,2914079000,19147,3367,3924
766,광주광역시;광주광역시,서구;서구,서창동;금호1동,2914080000;2914082100,26066,3797,5651
767,광주광역시,서구,풍암동,2914083000,33895,5931,4921
768,광주광역시,서구,금호2동,2914082400,26441,5145,3289
769,광주광역시,서구,동천동,2914084000,15172,3118,2385
770,광주광역시;광주광역시;광주광역시,남구;남구;남구,양림동;방림1동;방림2동,2915551000;2915552000;2915553000,21959,3213,5922
771,광주광역시,남구,봉선1동,2915553700,13354,2065,3025
772,광주광역시,남구,봉선2동,2915553800,27553,7226,4182
773,광주광역시,남구,사직동,2915554500,4458,395,1445
774,광주광역시;광주광역시;광주광역시,남구;남구;남구,월산동;월산4동;월산5동,2915560500;2915563000;2915564000,23058,2418,6532
775,광주광역시;광주광역시,남구;남구,백운1동;백운2동,2915567000;2915568000,18005,2488,4479
776,광주광역시,남구,주월1동,2915569000,20474,3356,4062
777,광주광역시,남구,주월2동,2915570000,7241,769,2184
778,광주광역시,남구,진월동,2915570500,27625,5208,5271
779,광주광역시,남구,효덕동,2915571000,15060,2662,3116
780,광주광역시;광주광역시,남구;남구,송암동;대촌동,2915572000;2915573000,29532,6315,4883
781,광주광역시;광주광역시;광주광역시,북구;북구;북구,중흥1동;중흥동;중앙동,2917051000;2917053500;2917055500,22971,2775,4819
782,광주광역시,북구,용봉동,2917059000,36556,5113,6385
783,광주광역시;광주광역시,북구;북구,임동;신안동,2917057000;2917058000,25631,3136,5174
784,광주광역시;광주광역시,북구;북구,운암1동;운암2동,2917060100;2917060200,28967,4546,6742
785,광주광역시,북구,운암3동,2917060300,13473,2347,2652
786,광주광역시,북구,동림동,2917061500,22172,3617,3905
787,광주광역시;광주광역시,북구;북구,우산동;풍향동,2917062000;2917063500,20511,3353,4856
788,광주광역시,북구,문화동,2917065000,22842,3555,4700
789,광주광역시;광주광역시,북구;북구,문흥1동;문흥2동,2917065600;2917065700,29378,4171,6369
790,광주광역시;광주광역시,북구;북구,두암1동;두암2동,2917066100;2917066200,21364,2173,6095
791,광주광역시;광주광역시,북구;북구,두암3동;삼각동,2917066300;2917066600,24843,2937,6361
792,광주광역시,북구,일곡동,2917066900,27555,5339,3456
793,광주광역시;광주광역시,북구;북구,매곡동;오치1동,2917067300;2917067600,22892,3389,4499
794,광주광역시;광주광역시,북구;북구,오치2동;석곡동,2917067700;2917068500,13485,1138,4087
795,광주광역시,북구,양산동,2917069600,35072,6393,5103
796,광주광역시,북구,신용동,2917069700,31707,7836,2556
797,광주광역시,북구,건국동,2917069500,22452,4895,2834
798,광주광역시;광주광역시,광산구;광산구,송정1동;송정2동,2920051500;2920052500,15973,1884,3733
799,광주광역시,광산구,어룡동,2920056500,33336,6938,4243
800,광주광역시;광주광역시,광산구;광산구,도산동;신흥동,2920054000;2920055000,18246,2862,3468
801,광주광역시,광산구,우산동,2920058000,28235,4116,4845
802,광주광역시;광주광역시,광산구;광산구,월곡1동;월곡2동,2920060000;2920061000,23845,3574,4055
803,광주광역시,광산구,비아동,2920062000,7141,1210,1135
804,광주광역시,광산구,첨단2동,2920062600,40943,7180,3600
805,광주광역시,광산구,첨단1동,2920062400,27668,4824,2880
806,광주광역시,광산구,신가동,2920063000,18764,4296,1635
807,광주광역시,광산구,수완동,2920063700,73732,19722,5070
808,광주광역시,광산구,운남동,2920063500,28631,5105,3712
809,광주광역시;광주광역시,광산구;광산구,하남동;임곡동,2920064000;2920065000,28858,5878,3216
810,광주광역시,광산구,신창동,2920070000,33519,7421,2535
811,광주광역시;광주광역시;광주광역시;광주광역시,광산구;광산구;광산구;광산구,동곡동;평동;삼도동;본량동,2920066000;2920067000;2920068000;2920069000,10559,737,4082
812,대전광역시,동구,중앙동,3011051500,3563,144,1529
813,대전광역시,동구,효동,3011053000,28911,6016,4657
814,대전광역시;대전광역시,동구;동구,신인동;판암1동,3011054500;3011055100,26221,3453,6739
815,대전광역시;대전광역시,동구;동구,판암2동;용운동,3011055200;3011056000,28557,3431,7368
816,대전광역시;대전광역시,동구;동구,대동;자양동,3011058500;3011059000,24312,3595,5194
817,대전광역시,동구,가양1동,3011062000,12830,1526,3320
818,대전광역시,동구,가양2동,3011063000,18267,2263,4097
819,대전광역시,동구,용전동,3011064000,19783,2058,3684
820,대전광역시;대전광역시,동구;동구,성남동;홍도동,3011066500;3011067000,21669,2457,5195
821,대전광역시,동구,삼성동,3011069500,13254,1583,3845
822,대전광역시;대전광역시,동구;동구,대청동;산내동,3011072500;3011074000,23213,4220,5422
823,대전광역시,중구,은행선화동,3014053500,19492,3196,3055
824,대전광역시,중구,목동,3014055000,17532,4459,2020
825,대전광역시;대전광역시,중구;중구,중촌동;대흥동,3014056000;3014057500,26435,3444,5793
826,대전광역시;대전광역시;대전광역시;대전광역시,중구;중구;중구;중구,문창동;석교동;대사동;부사동,3014060500;3014062000;3014063000;3014064000,29352,2504,9659
827,대전광역시;대전광역시,중구;중구,용두동;오류동,3014065500;3014067000,19754,2312,4441
828,대전광역시,중구,태평1동,3014068000,12314,2063,2611
829,대전광역시,중구,태평2동,3014069000,23761,3812,5736
830,대전광역시;대전광역시,중구;중구,유천1동;유천2동,3014070000;3014071000,18432,1872,5354
831,대전광역시,중구,문화1동,3014072000,20302,3715,4183
832,대전광역시,중구,문화2동,3014073000,11230,1141,3336
833,대전광역시,중구,산성동,3014074000,25006,2718,7177
834,대전광역시,서구,복수동,3017051000,21148,4067,3537
835,대전광역시,서구,도마1동,3017052000,18317,2293,4383
836,대전광역시,서구,도마2동,3017053000,18768,2406,4795
837,대전광역시;대전광역시,서구;서구,정림동;변동,3017053500;3017054000,27400,3336,7194
838,대전광역시,서구,용문동,3017055000,15110,1826,2686
839,대전광역시,서구,탄방동,3017055500,26093,3355,3434
840,대전광역시;대전광역시,서구;서구,괴정동;가장동,3017056000;3017057000,28885,3265,5092
841,대전광역시,서구,내동,3017057500,22111,3503,4665
842,대전광역시,서구,갈마1동,3017058100,20874,2079,3739
843,대전광역시,서구,갈마2동,3017058200,23500,2511,3044
844,대전광역시;대전광역시,서구;서구,월평1동;월평2동,3017058600;3017058700,24434,2429,5290
845,대전광역시,서구,월평3동,3017058800,19964,3641,3549
846,대전광역시,서구,도안동,3017059300,36449,9800,2625
847,대전광역시,서구,관저2동,3017059700,47529,10099,5137
848,대전광역시;대전광역시,서구;서구,가수원동;관저1동,3017059000;3017059600,24744,3472,5003
849,대전광역시,서구,둔산2동,3017064000,34592,6006,4266
850,대전광역시;대전광역시,서구;서구,기성동;둔산1동,3017060000;3017063000,19699,4775,3508
851,대전광역시,서구,만년동,3017065000,12013,1698,1513
852,대전광역시,서구,둔산3동,3017066000,18767,3556,3799
853,대전광역시,유성구,진잠동,3020052000,25344,3703,4636
854,대전광역시,유성구,학하동,3020052600,19603,3384,2582
855,대전광역시,유성구,상대동,3020052700,25088,6265,2838
856,대전광역시,유성구,온천2동,3020054000,40436,5877,5638
857,대전광역시,유성구,온천1동,3020053000,26703,1552,4239
858,대전광역시,유성구,노은1동,3020054600,20777,4310,2613
859,대전광역시,유성구,노은3동,3020054800,36009,8217,4576
860,대전광역시,유성구,노은2동,3020054700,23301,4606,3256
861,대전광역시,유성구,신성동,3020055000,25296,4732,2579
862,대전광역시,유성구,구즉동,3020058000,32739,5685,3972
863,대전광역시,유성구,관평동,3020060000,37393,9018,2834
864,대전광역시,유성구,전민동,3020057000,25598,4790,3045
865,대전광역시,유성구,원신흥동,3020061000,29888,6196,3773
866,대전광역시;대전광역시,대덕구;대덕구,오정동;대화동,3023051000;3023052000,19005,1812,5124
867,대전광역시;대전광역시,대덕구;대덕구,회덕동;비래동,3023052500;3023053300,27215,3135,6902
868,대전광역시,대덕구,송촌동,3023054300,25265,4352,3676
869,대전광역시,대덕구,중리동,3023054600,17904,1749,4158
870,대전광역시,대덕구,신탄진동,3023055000,16019,2010,3273
871,대전광역시;대전광역시,대덕구;대덕구,석봉동;덕암동,3023056000;3023057000,28558,4510,4954
872,대전광역시,대덕구,목상동,3023058000,5922,722,933
873,대전광역시;대전광역시,대덕구;대덕구,법1동;법2동,3023060000;3023061000,26832,3306,6743
874,울산광역시;울산광역시,중구;중구,학성동;반구1동,3111051000;3111052000,26133,3176,6286
875,울산광역시;울산광역시,중구;중구,반구2동;복산동,3111053000;3111055500,29251,4771,5440
876,울산광역시,중구,태화동,3111060000,31203,5955,5377
877,울산광역시;울산광역시,중구;중구,중앙동;우정동,3111058500;3111059000,28584,3164,7781
878,울산광역시,중구,다운동,3111061000,20897,2128,5383
879,울산광역시,중구,병영1동,3111062000,20333,2906,4384
880,울산광역시;울산광역시,중구;중구,병영2동;약사동,3111063000;3111064000,29638,5584,4960
881,울산광역시,중구,성안동,3111065000,20064,3521,3081
882,울산광역시,남구,신정1동,3114051000,17492,1693,4632
883,울산광역시,남구,신정2동,3114052000,25336,5229,3572
884,울산광역시,남구,신정3동,3114053000,15555,2151,3304
885,울산광역시;울산광역시,남구;남구,신정4동;신정5동,3114054000;3114055000,27717,4278,4937
886,울산광역시,남구,삼산동,3114057000,47379,6335,6302
887,울산광역시,남구,달동,3114056000,25689,2837,4960
888,울산광역시,남구,무거동,3114059500,30875,4184,4341
889,울산광역시,남구,삼호동,3114058500,20214,2319,4000
890,울산광역시,남구,대현동,3114062500,32153,6871,4461
891,울산광역시,남구,옥동,3114060000,24783,4493,3881
892,울산광역시;울산광역시,남구;남구,수암동;선암동,3114063500;3114064000,28870,4661,5189
893,울산광역시,동구,방어동,3117051000,36916,6014,6675
894,울산광역시,남구,야음장생포동,3114067000,8523,1058,2291
895,울산광역시;울산광역시,동구;동구,일산동;화정동,3117052000;3117053000,23029,3709,4997
896,울산광역시;울산광역시,동구;동구,대송동;전하1동,3117054000;3117055000,25897,3934,4828
897,울산광역시;울산광역시,동구;동구,전하2동;남목1동,3117056000;3117058000,27020,4803,5340
898,울산광역시,동구,남목2동,3117059000,26410,5761,3821
899,울산광역시,북구,농소1동,3120051000,35286,7532,4800
900,울산광역시,북구,농소2동,3120052000,41714,9758,4359
901,울산광역시,북구,농소3동,3120053000,35883,7651,3740
902,울산광역시,동구,남목3동,3117060000,10896,1898,2345
903,울산광역시,북구,강동동,3120054000,15974,3729,2417
904,울산광역시,북구,송정동,3120057000,36164,7523,3690
905,울산광역시,북구,효문동,3120056000,29208,4273,3762
906,울산광역시;울산광역시,북구;북구,양정동;염포동,3120058000;3120059000,21526,3113,3331
907,울산광역시,울주군,온산읍,3171025000,19045,2299,3408
908,울산광역시,울주군,언양읍,3171025300,29240,4876,5819
909,울산광역시,울주군,범서읍,3171025900,66689,13242,8873
910,울산광역시,울주군,온양읍,3171025600,27995,4765,4749
911,울산광역시,울주군,청량읍,3171026200,20940,3281,3721
912,울산광역시,울주군,삼남읍,3171026500,21994,2464,4975
913,울산광역시;울산광역시;울산광역시;울산광역시,울주군;울주군;울주군;울주군,서생면;웅촌면;두동면;두서면,3171031000;3171034000;3171036000;3171037000,22920,1731,8474
914,울산광역시,울주군,상북면,3171038000,7887,538,2986
915,세종특별자치시, ,조치원읍,3611025000,40841,6059,8536
916,울산광역시,울주군,삼동면,3171040000,1692,61,828
917,세종특별자치시;세종특별자치시;세종특별자치시;세종특별자치시;세종특별자치시, ; ; ; ; ,연기면;연동면;부강면;금남면;장군면,3611031000;3611032000;3611033000;3611034000;3611035000,24942,1618,8476
918,세종특별자치시;세종특별자치시;세종특별자치시;세종특별자치시, ; ; ; ,연서면;전의면;전동면;소정면,3611036000;3611037000;3611038000;3611039000,16644,1195,6350
919,세종특별자치시, ,한솔동,3611051000,17835,4744,1560
920,세종특별자치시,세종특별자치시,새롬동,3611051500,26328,7799,1829
921,세종특별자치시, ,나성동,3611051800,12986,3381,486
922,세종특별자치시, ,도담동,3611052000,24603,6004,2541
923,세종특별자치시, ,어진동,3611052300,11036,2741,441
924,세종특별자치시, ,해밀동,3611052500,22641,7124,961
925,세종특별자치시, ,아름동,3611053000,22980,6753,1578
926,세종특별자치시, ,고운동,3611055000,35379,10224,3073
927,세종특별자치시, ,종촌동,3611054000,27521,7177,2603
928,세종특별자치시,세종특별자치시,소담동,3611055500,21533,5762,1685
929,세종특별자치시,세종특별자치시,반곡동,3611055600,28559,7495,1451
930,세종특별자치시;세종특별자치시, ;세종특별자치시,보람동;대평동,3611056000;3611057000,29811,7692,2529
931,세종특별자치시,세종특별자치시,다정동,3611058000,28173,7957,2036
932,경기도,수원시 장안구,율천동,4111156600,39847,5459,5218
933,경기도,수원시 장안구,정자1동,4111157100,33516,5970,4865
934,경기도,수원시 장안구,정자2동,4111157200,38446,6815,5730
935,경기도,수원시 장안구,정자3동,4111157300,38812,7664,4042
936,경기도,수원시 장안구,파장동,4111156000,24696,3204,4879
937,경기도,수원시 장안구,영화동,4111158000,17996,1463,4825
938,경기도,수원시 장안구,송죽동,4111159100,18114,2114,3595
939,경기도,수원시 장안구,조원1동,4111159700,27748,3393,5785
940,경기도,수원시 장안구,조원2동,4111159800,17479,2608,3316
941,경기도,수원시 장안구,연무동,4111160000,17207,1597,4315
942,경기도,수원시 권선구,세류1동,4111352000,9549,1178,1800
943,경기도,수원시 권선구,세류2동,4111353000,22203,1995,4719
944,경기도,수원시 권선구,평동,4111355000,40876,5657,7124
945,경기도,수원시 권선구,서둔동,4111356000,37272,4233,6968
946,경기도,수원시 권선구,세류3동,4111354000,17312,1752,3934
947,경기도,수원시 권선구,금곡동,4111366200,44580,8188,6123
948,경기도,수원시 권선구,호매실동,4111366400,44026,9945,5193
949,경기도,수원시 권선구,구운동,4111365000,22631,2482,4432
950,경기도,수원시 권선구,권선2동,4111368000,45920,8733,5662
951,경기도,수원시 권선구,곡선동,4111369000,34337,4630,3306
952,경기도,수원시 권선구,권선1동,4111367000,24031,2056,3581
953,경기도,수원시 권선구,입북동,4111370000,19635,3302,2689
954,경기도,수원시 팔달구,매교동,4111565000,21706,4118,2490
955,경기도;경기도,수원시 팔달구;수원시 팔달구,매산동;고등동,4111566000;4111567000,28979,3504,5455
956,경기도,수원시 팔달구,화서1동,4111568000,20855,2684,4609
957,경기도,수원시 팔달구,화서2동,4111569000,24117,3554,3632
958,경기도;경기도,수원시 팔달구;수원시 팔달구,지동;우만1동,4111570000;4111571000,27574,2195,7096
959,경기도,수원시 팔달구,인계동,4111573000,45027,5460,5731
960,경기도;경기도,수원시 팔달구;수원시 팔달구,우만2동;행궁동,4111572000;4111574000,25791,2700,5080
961,경기도,수원시 영통구,매탄3동,4111753000,34073,5604,3790
962,경기도;경기도,수원시 영통구;수원시 영통구,매탄1동;매탄2동,4111751000;4111752000,24833,3361,4275
963,경기도,수원시 영통구,원천동,4111755000,45579,9175,4523
964,경기도,수원시 영통구,영통1동,4111757000,32722,6258,3394
965,경기도,수원시 영통구,매탄4동,4111754000,19684,2304,3176
966,경기도,수원시 영통구,영통3동,4111758500,31435,5376,2736
967,경기도,수원시 영통구,망포1동,4111759300,31376,6828,2718
968,경기도,수원시 영통구,망포2동,4111759600,33687,9284,2038
969,경기도,수원시 영통구,광교1동,4111760000,53877,11028,3832
970,경기도,수원시 영통구,영통2동,4111758000,25008,3534,1676
971,경기도,수원시 영통구,광교2동,4111761000,28422,5530,3543
972,경기도,성남시 수정구,신흥2동,4113152000,31574,5203,4890
973,경기도;경기도,성남시 수정구;성남시 수정구,신흥1동;신흥3동,4113151000;4113153000,22998,1644,5472
974,경기도;경기도,성남시 수정구;성남시 수정구,태평1동;태평2동,4113154000;4113155000,27768,2168,6682
975,경기도;경기도,성남시 수정구;성남시 수정구,태평3동;태평4동,4113156000;4113156100,22966,2168,5483
976,경기도;경기도,성남시 수정구;성남시 수정구,수진1동;수진2동,4113157000;4113158000,25536,1941,6872
977,경기도,성남시 수정구,단대동,4113159000,14299,1758,3135
978,경기도,성남시 수정구,위례동,4113162500,45674,9056,6772
979,경기도;경기도;경기도;경기도,성남시 수정구;성남시 수정구;성남시 수정구;성남시 수정구,산성동;양지동;복정동;신촌동,4113160000;4113161000;4113162000;4113163000,28369,3275,5044
980,경기도,성남시 중원구,성남동,4113351000,32217,2680,6849
981,경기도;경기도,성남시 수정구;성남시 수정구,고등동;시흥동,4113164000;4113165000,15118,2177,2420
982,경기도,성남시 중원구,중앙동,4113352500,16665,2519,3138
983,경기도,성남시 중원구,금광1동,4113353000,19538,3390,2714
984,경기도,성남시 중원구,금광2동,4113354000,24019,2531,5238
985,경기도,성남시 중원구,은행1동,4113355000,9389,1151,1830
986,경기도,성남시 중원구,은행2동,4113356000,21364,2041,5124
987,경기도;경기도,성남시 중원구;성남시 중원구,상대원1동;상대원2동,4113357000;4113358000,26592,2745,5912
988,경기도,성남시 중원구,상대원3동,4113359000,11298,974,2845
989,경기도,성남시 중원구,하대원동,4113366000,19212,2435,4011
990,경기도,성남시 중원구,도촌동,4113367000,25955,4572,4484
991,경기도,성남시 분당구,분당동,4113551000,24431,4093,4149
992,경기도;경기도,성남시 분당구;성남시 분당구,수내1동;수내2동,4113552000;4113553000,28266,6252,3784
993,경기도,성남시 분당구,정자1동,4113555000,30133,4934,4291
994,경기도;경기도,성남시 분당구;성남시 분당구,수내3동;정자동,4113554000;4113554500,27152,5070,3780
995,경기도,성남시 분당구,정자2동,4113556000,14285,1828,2793
996,경기도,성남시 분당구,서현1동,4113558000,30728,5782,4391
997,경기도,성남시 분당구,정자3동,4113557000,16626,3132,2461
998,경기도,성남시 분당구,서현2동,4113559000,17422,3118,2712
999,경기도,성남시 분당구,이매1동,4113560000,24727,4654,3845
1000,경기도;경기도,성남시 분당구;성남시 분당구,이매2동;야탑1동,4113561000;4113562000,29600,4667,5704
1001,경기도,성남시 분당구,야탑2동,4113563000,15630,2613,3422
1002,경기도,성남시 분당구,야탑3동,4113564000,26149,3237,5249
1003,경기도,성남시 분당구,판교동,4113565000,26550,6463,2989
1004,경기도,성남시 분당구,삼평동,4113565500,23697,4815,3052
1005,경기도,성남시 분당구,백현동,4113565700,26430,4643,3945
1006,경기도,성남시 분당구,금곡동,4113566200,26876,3649,5586
1007,경기도,성남시 분당구,구미1동,4113566500,16215,2363,2733
1008,경기도,성남시 분당구,운중동,4113568000,37370,8106,4287
1009,경기도,의정부시,의정부1동,4115051000,40149,4205,7067
1010,경기도,성남시 분당구,구미동,4113567000,28103,3752,5916
1011,경기도,의정부시,호원1동,4115054500,33663,3922,8625
1012,경기도,의정부시,호원2동,4115055500,32170,4265,7565
1013,경기도,의정부시,의정부2동,4115052000,29245,2960,5640
1014,경기도,의정부시,신곡1동,4115056700,41579,5417,8375
1015,경기도,의정부시,신곡2동,4115056800,44016,6578,8643
1016,경기도,의정부시,송산1동,4115057300,30284,4399,5632
1017,경기도,의정부시,송산2동,4115057600,31025,5256,5013
1018,경기도,의정부시,송산3동,4115057800,44633,10023,5659
1019,경기도,의정부시,장암동,4115056100,18493,2662,4433
1020,경기도,의정부시,자금동,4115058000,25161,3297,5311
1021,경기도,의정부시,가능동,4115059500,23545,2735,5349
1022,경기도,의정부시,흥선동,4115061500,18679,2486,4180
