ID,시도,시군구,읍면동,행정기관코드,총인구수,어린이,노인,겹침 비율
1751,경상북도,영천시,대창면,4723040000,2954,151,1421,0
1755,경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도,상주시;상주시;상주시;상주시;상주시;상주시;상주시;상주시;상주시;상주시;상주시,중동면;사벌국면;낙동면;낙동면동부출장소;청리면;공성면;외남면;내서면;모동면;모서면;모서면서부출장소,4725032500,22901,1571,11590,0.142006195
1756,경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도,상주시;상주시;상주시;상주시;상주시;상주시;상주시;상주시;상주시;상주시,화동면;화서면;화북면;화북면서부출장소;외서면;은척면;은척면북부출장소;공검면;이안면;화남면,4725040000,14618,1051,7330,0.130992507
1758,경상북도;경상북도;경상북도,상주시;상주시;상주시,동문동;동성동;신흥동,4725055000,18823,2696,5263,0.112164145
1759,경상북도;경상북도;경상북도;경상북도,문경시;문경시;문경시;문경시,문경읍;문경읍갈평출장소;가은읍;가은읍북부출장소,4728025000,10499,849,4835,0.241011241
1760,경상북도;경상북도;경상북도;경상북도;경상북도;경상북도;경상북도,문경시;문경시;문경시;문경시;문경시;문경시;문경시,영순면;산양면;호계면;산북면;동로면;마성면;농암면,4728031000,17633,1145,8843,0.044314947
1764,경상북도;경상북도,문경시;문경시,점촌4동;점촌5동,4728060000,18438,3137,3945,0.201795028
1765,경상북도,경산시,압량읍,4729025600,21984,3613,3629,0.191376424
1766,경상북도;경상북도;경상북도;경상북도;경상북도,경산시;경산시;경산시;경산시;경산시,와촌면;자인면;용성면;남산면;남천면,4729031000,19703,1024,8982,0.046335756
1776,경상북도,청송군,청송읍,4775025000,4840,498,1709,0.248517126
1778,경상북도,영양군,영양읍,4776025000,6677,820,2266,0.180655226
